Group	coverage	sobs	chao	chao_lci	chao_hci	npshannon	invsimpson	invsimpson_lci	invsimpson_hci	simpson	simpson_lci	simpson_hci
1	0.995877	128	185.115385	156.88785	240.92523	1.778372	3.241458	3.169963	3.316252	0.308503	0.301545	0.315461
10	0.996702	115	162.3	137.148011	216.015392	2.864918	11.494623	11.208886	11.795309	0.086997	0.084779	0.089215
100	0.968216	505	2640.142857	2003.535742	3547.19305	2.943952	11.037796	10.867151	11.213887	0.090598	0.089175	0.09202
101	0.941079	1940	2892.175926	2729.147809	3088.883622	6.140078	59.670559	56.116082	63.705778	0.016759	0.015697	0.01782
102	0.944753	1649	2952.923077	2711.367698	3249.402002	6.030234	50.953209	47.578352	54.843393	0.019626	0.018234	0.021018
103	0.940255	1239	3138.437126	2779.238744	3581.404	4.774915	32.259492	31.138178	33.464582	0.030999	0.029882	0.032115
104	0.961769	917	2283.263158	1961.084375	2704.858396	5.214841	44.035653	41.44967	46.965778	0.022709	0.021292	0.024126
105	0.967091	668	1558.194444	1346.273517	1836.328305	2.942711	6.603258	6.434286	6.781345	0.15144	0.147463	0.155417
106	0.95952	721	2586.769231	2131.161252	3189.579261	3.362864	9.311652	9.044509	9.595056	0.107392	0.10422	0.110564
107	0.965592	627	2295.428571	1853.5063	2896.57978	2.479534	2.67535	2.608526	2.745688	0.373783	0.364207	0.383358
108	0.960795	775	2038.916667	1750.431298	2412.722045	3.172685	7.756361	7.549414	7.974973	0.128926	0.125392	0.132461
109	0.95907	934	2262.4375	1964.418121	2646.650578	2.909425	2.962751	2.886729	3.042886	0.337524	0.328635	0.346413
11	0.976612	417	1332.396226	1061.847793	1716.454321	1.444687	1.589362	1.562948	1.616684	0.629183	0.61855	0.639816
110	0.968441	681	1892.09589	1577.327444	2317.403377	4.29619	22.072751	21.171987	23.053566	0.045305	0.043377	0.047232
111	0.953373	1459	2697.019231	2444.663817	3013.984153	5.683804	40.961485	38.958515	43.181574	0.024413	0.023158	0.025668
112	0.966342	766	1977.759036	1675.534596	2380.408037	5.120417	81.923648	78.878175	85.213736	0.012206	0.011735	0.012678
113	0.943553	1500	2572.454545	2381.785136	2804.352619	5.261104	32.514041	30.975339	34.213605	0.030756	0.029228	0.032284
114	0.96919	585	1638.1875	1368.446403	2000.80063	3.198169	6.719156	6.494961	6.959382	0.148828	0.143691	0.153966
115	0.967691	800	1829.611111	1574.831917	2168.166459	4.507544	25.820893	24.86823	26.849455	0.038728	0.037245	0.040212
116	0.953448	1074	2890.132075	2488.995125	3404.987336	4.922023	38.171306	36.827206	39.617234	0.026198	0.025242	0.027154
117	0.95907	1319	2624.131579	2332.40039	2999.844468	6.370413	361.157418	350.82603	372.115763	0.002769	0.002687	0.00285
118	0.947901	931	2957.596639	2531.74485	3496.739278	3.501137	10.495136	10.200337	10.807482	0.095282	0.092528	0.098036
119	0.9491	1335	2491.688442	2270.752609	2764.788322	5.113405	15.970991	15.156872	16.877531	0.062614	0.05925	0.065977
12	0.947001	1086	2962.473684	2579.446306	3443.736916	4.402603	21.41245	20.735375	22.135236	0.046702	0.045177	0.048227
120	0.967241	752	1859.744186	1583.937297	2226.987582	4.168681	12.674093	12.11162	13.291353	0.078901	0.075237	0.082565
121	0.915292	2329	3809.011601	3592.494978	4062.631219	5.740091	14.71354	13.964677	15.547271	0.067965	0.06432	0.071609
122	0.943403	1126	3218.904412	2799.814364	3742.926328	4.861436	43.254877	41.769779	44.849472	0.023119	0.022297	0.023941
123	0.957046	864	2340.378378	2012.108686	2762.507644	4.3083	27.062482	26.238376	27.940035	0.036952	0.035791	0.038112
124	0.962594	788	1868.443478	1622.138369	2187.477776	3.617106	12.720789	12.36521	13.097423	0.078611	0.076351	0.080872
125	0.960645	760	2501.139241	2075.146628	3065.116243	3.78126	13.890861	13.481948	14.325354	0.07199	0.069806	0.074173
126	0.957871	748	2519.247191	2103.488017	3062.529213	3.493806	9.562976	9.281873	9.861638	0.10457	0.101403	0.107737
127	0.967766	575	1757.5	1455.891276	2162.376659	2.432606	4.134475	4.033761	4.240348	0.241869	0.23583	0.247908
128	0.948351	1067	2797.043796	2444.168072	3240.337877	4.919538	53.164004	51.534191	54.900272	0.01881	0.018215	0.019405
129	0.962819	829	2107.75	1805.080758	2504.272818	3.406162	5.216421	5.041857	5.403506	0.191702	0.185065	0.19834
13	0.952999	1134	2679.283465	2352.047091	3094.434045	5.193319	50.90799	48.606891	53.437788	0.019643	0.018713	0.020573
130	0.968291	709	1759.035294	1495.090404	2111.60473	5.045569	77.29576	74.449919	80.367812	0.012937	0.012443	0.013432
131	0.95015	961	2515.788732	2198.43392	2914.533003	3.185411	6.026178	5.867301	6.193898	0.165943	0.161449	0.170436
132	0.961394	805	2141.919192	1830.103155	2548.583479	4.367086	28.856852	27.988232	29.781115	0.034654	0.033578	0.035729
