Group,hyenaID,age_cat,sex,clan,darting_date,bodysite,mom,stan.soc.rank,birthday,age_ms
49,baez,adult,female,Talek,19-May-12,rectum,NA,NA,NA,NA
192,baez,adult,female,Talek,19-May-12,scentgland,NA,NA,NA,NA
46,baez,adult,female,Talek,19-May-12,nasal,NA,NA,NA,NA
114,baez,adult,female,Talek,19-May-12,prepuce,NA,NA,NA,NA
146,baez,adult,female,Talek,19-May-12,oral,NA,NA,NA,NA
180,baez,adult,female,Talek,19-May-12,ears,NA,NA,NA,NA
37,bart,adult,female,SerenaSouth,8-Aug-12,oral,NA,NA,NA,NA
61,bart,adult,female,SerenaSouth,8-Aug-12,prepuce,NA,NA,NA,NA
64,bart,adult,female,SerenaSouth,8-Aug-12,rectum,NA,NA,NA,NA
129,bart,adult,female,SerenaSouth,8-Aug-12,nasal,NA,NA,NA,NA
158,bart,adult,female,SerenaSouth,8-Aug-12,ears,NA,NA,NA,NA
216,bart,adult,female,SerenaSouth,8-Aug-12,scentgland,NA,NA,NA,NA
57,dk,adult,female,Talek,26-Jun-14,ears,NA,NA,NA,NA
110,dk,adult,female,Talek,26-Jun-14,rectum,NA,NA,NA,NA
151,dk,adult,female,Talek,26-Jun-14,oral,NA,NA,NA,NA
160,dk,adult,female,Talek,26-Jun-14,nasal,NA,NA,NA,NA
174,dk,adult,female,Talek,26-Jun-14,scentgland,NA,NA,NA,NA
207,dk,adult,female,Talek,26-Jun-14,prepuce,NA,NA,NA,NA
74,dontt,adult,female,FigTree,1-May-14,prepuce,NA,NA,NA,NA
77,dontt,adult,female,FigTree,1-May-14,nasal,NA,NA,NA,NA
104,dontt,adult,female,FigTree,1-May-14,ears,NA,NA,NA,NA
137,dontt,adult,female,FigTree,1-May-14,oral,NA,NA,NA,NA
176,dontt,adult,female,FigTree,1-May-14,rectum,NA,NA,NA,NA
200,dontt,adult,female,FigTree,1-May-14,scentgland,NA,NA,NA,NA
8,juno,adult,female,Talek,28-May-12,scentgland,NA,NA,NA,NA
40,juno,adult,female,Talek,28-May-12,rectum,NA,NA,NA,NA
148,juno,adult,female,Talek,28-May-12,ears,NA,NA,NA,NA
183,juno,adult,female,Talek,28-May-12,oral,NA,NA,NA,NA
194,juno,adult,female,Talek,28-May-12,prepuce,NA,NA,NA,NA
218,juno,adult,female,Talek,28-May-12,nasal,NA,NA,NA,NA
24,lu,adult,female,FigTree,15-Sep-13,oral,NA,NA,NA,NA
109,lu,adult,female,FigTree,15-Sep-13,nasal,NA,NA,NA,NA
130,lu,adult,female,FigTree,15-Sep-13,ears,NA,NA,NA,NA
178,lu,adult,female,FigTree,15-Sep-13,rectum,NA,NA,NA,NA
205,lu,adult,female,FigTree,15-Sep-13,scentgland,NA,NA,NA,NA
220,lu,adult,female,FigTree,15-Sep-13,prepuce,NA,NA,NA,NA
27,mtn,adult,female,SerenaSouth,30-Dec-13,nasal,NA,NA,NA,NA
90,mtn,adult,female,SerenaSouth,30-Dec-13,oral,NA,NA,NA,NA
143,mtn,adult,female,SerenaSouth,30-Dec-13,prepuce,NA,NA,NA,NA
152,mtn,adult,female,SerenaSouth,30-Dec-13,scentgland,NA,NA,NA,NA
159,mtn,adult,female,SerenaSouth,30-Dec-13,rectum,NA,NA,NA,NA
22,obam,adult,female,Talek,7-Jun-12,prepuce,NA,NA,NA,NA
66,obam,adult,female,Talek,7-Jun-12,oral,NA,NA,NA,NA
139,obam,adult,female,Talek,7-Jun-12,scentgland,NA,NA,NA,NA
164,obam,adult,female,Talek,7-Jun-12,nasal,NA,NA,NA,NA
195,obam,adult,female,Talek,7-Jun-12,ears,NA,NA,NA,NA
203,obam,adult,female,Talek,7-Jun-12,rectum,NA,NA,NA,NA
10,roh,adult,female,FigTree,24-Jul-13,prepuce,NA,NA,NA,NA
35,roh,adult,female,FigTree,24-Jul-13,nasal,NA,NA,NA,NA
59,roh,adult,female,FigTree,24-Jul-13,rectum,NA,NA,NA,NA
102,roh,adult,female,FigTree,24-Jul-13,ears,NA,NA,NA,NA
118,roh,adult,female,FigTree,24-Jul-13,scentgland,NA,NA,NA,NA
